³¯Â¥,ÀüÃ¼,³²Ãµµ¿ 20-24,³²Ãµµ¿ 24-3,³²Ãµµ¿ 78-1,±¤¾Èµ¿ 201-20(1),³²Ãµµ¿ 222-2,³²Ãµµ¿ 549,³²Ãµµ¿ 17-1,³²Ãµµ¿ 12-1,¹Î¶ôµ¿ 176-33(1),³²Ãµµ¿ 148-73,³²Ãµµ¿ 3-57,³²Ãµµ¿ 6-12,³²Ãµµ¿ 148-12,±¤¾Èµ¿ 153-42,±¤¾Èµ¿ 144-54,¹Î¶ôµ¿ 185-5,±¤¾Èµ¿ 191-18,±¤¾Èµ¿ 163-5,±¤¾Èµ¿ 167-19,±¤¾Èµ¿ 178-31,±¤¾Èµ¿ 182-13,³²Ãµµ¿ 26-21,³²Ãµµ¿ 3-29,±¤¾Èµ¿ 204-1,±¤¾Èµ¿ 200-8,±¤¾Èµ¿ 197-7,±¤¾Èµ¿ 197-1,±¤¾Èµ¿ 196-5,±¤¾Èµ¿ 193-4(1),±¤¾Èµ¿ 201-20(2),±¤¾Èµ¿ 193-4(2),¹Î¶ôµ¿ 171-15,¹Î¶ôµ¿ 175-16,¹Î¶ôµ¿ 178-12,¹Î¶ôµ¿ 205-8,¹Î¶ôµ¿ 176-33(2),¹Î¶ôµ¿ 18-14,¹Î¶ôµ¿ 33-5,¹Î¶ôµ¿ 192-4,¹Î¶ôµ¿ 745-3,¹Î¶ôµ¿ 110-75,¹Î¶ôµ¿ 110-28,¹Î¶ôµ¿ 113-33,¹Î¶ô¼öº¯°ø¿ø(1),¹Î¶ôµ¿ 110-88,¹Î¶ô¼öº¯°ø¿ø(2),¹Î¶ôµ¿ 110-17,¹Î¶ôµ¿ 181-201,¹Î¶ôµ¿ 181-87,¹Î¶ôµ¿ 113-45
2025-08-01,179310,5668,2476,1557,16319,2213,7371,9360,2400,15359,4318,9635,5624,6884,10641,5380,11297,9060,2259,1725,1662,3806,7666,9961,5556,6287,8112,4515,5512,8607,15364,16243,2037,6026,7795,10432,16036,2909,480,7576,3804,2581,2744,3558,4198,2602,5217,2673,3818,5027,4605
2025-08-02,252187,5636,2342,1626,23120,2538,8362,10357,2245,21955,5295,11942,5363,11025,13835,7995,14416,13891,2991,2545,1850,4255,11071,14696,8321,8069,12100,6568,6777,10049,23081,19644,3073,8953,10897,14289,20814,2879,499,9116,4854,3980,3593,5221,6510,4224,6413,3157,4693,7804,8100
2025-08-03,172856,4658,1731,1212,16643,2006,7475,8395,1756,12649,4146,8006,4383,7450,10099,4935,12265,11272,1926,1759,1482,3099,6681,10074,5711,6464,8787,4715,6384,10441,16481,16958,2063,5815,8355,10181,15371,2338,392,7215,3732,2897,2804,3538,3662,2784,4169,2672,3144,4508,5369
2025-08-04,126041,5470,2135,1411,10824,1619,6791,8500,1861,6506,3372,6965,4567,4548,7357,4285,8098,6504,1877,1495,1396,2386,5606,7011,3932,4292,5383,3072,3990,6420,10741,10149,1385,3083,4773,6674,9790,2417,331,5948,2902,1330,1742,2128,2170,1493,2644,1731,2666,3264,2479
2025-08-05,118395,5521,2005,1532,9668,1018,5782,7952,1885,9017,3682,6636,4998,3894,6952,4001,7658,5523,1599,1058,1285,1865,4352,5974,3175,4093,3587,2652,3102,4448,8503,9854,1213,2984,4264,5956,7961,1863,305,5256,2682,1798,1553,2065,1986,1778,2993,1756,2216,3025,2354
2025-08-06,126525,5960,1967,1554,10511,1585,6811,9190,2156,6180,4034,6864,4731,4637,7512,4373,8098,5812,1860,1365,1370,2022,6027,7270,3610,3958,4784,2821,3874,6569,10147,10540,1643,3208,4764,6855,10513,2420,324,5670,3050,1556,1743,2464,2320,2011,2926,1816,2235,3208,2560
2025-08-07,137528,5858,1922,1469,12132,1648,6567,8988,1982,11004,4025,7629,4478,5474,8382,4327,8419,7229,2121,1435,1352,2318,5908,8146,3952,4538,5837,3107,3581,5782,11268,13620,1854,3645,5874,7213,10599,2469,400,6048,3302,1757,1934,2595,2281,1959,3053,2018,2446,3506,2817
2025-08-08,153391,6625,2161,1596,13272,1719,7833,9940,2376,12440,4294,8426,5589,5940,8622,5168,9208,7925,2147,1639,1563,2439,6223,8713,4372,5295,6517,3765,4170,5554,12360,14477,1881,4118,5594,7762,11324,2689,391,6898,3322,2470,2095,3011,3152,2437,3998,2161,2731,3383,3520
2025-08-09,164957,6304,1907,1398,14964,1614,7272,10145,2053,16181,4164,8755,4045,6148,9696,5224,10299,8313,2068,1661,1455,2587,6808,9979,5629,6910,7968,4360,4772,6093,14006,15250,2190,4601,6969,8891,16032,2393,462,7113,3640,2808,2463,3444,3645,2446,4427,2374,3121,4263,4114
2025-08-10,153827,4352,1635,1096,15062,1230,5916,7513,1533,13503,3591,7757,4236,7009,9254,4293,10084,8399,1693,1678,1413,2657,5661,9483,5088,5983,6852,4078,4247,4858,14231,14936,1829,4500,6317,8950,13809,2244,389,6214,3321,2817,2194,3304,3144,2600,3696,2161,2540,3440,4417
2025-08-11,113614,5166,1782,1343,8947,1180,5660,8476,1733,7590,3373,6198,5113,3742,6908,4079,6657,5123,1619,1160,1240,2406,4442,6065,3296,3880,4685,2824,3030,3541,8491,9134,1411,2799,4349,5846,6114,2173,337,5486,2771,2061,1418,2117,1900,1604,2411,1763,2250,3058,1947
2025-08-12,97951,4629,1946,1150,7181,960,5513,7407,1664,5527,3106,5539,5209,3022,5907,3471,6105,4261,1508,916,1164,1690,3923,5287,2986,3146,3414,2242,2702,2908,6965,7299,1032,2208,3753,4807,7889,1746,320,4917,2450,1664,1224,1696,1738,1286,2460,1396,1766,2422,1484
2025-08-13,137270,5698,2383,1423,12057,1396,6948,9272,2358,9720,3688,7787,5187,5623,8050,4302,9137,6727,2196,1506,1446,2708,5785,7405,4270,4791,3432,3192,3717,4362,10935,12053,1741,3313,5253,7316,10723,2577,308,6165,3217,2475,1887,2641,2621,2077,3427,1988,2454,3555,3162
2025-08-14,152116,5569,2551,1479,12986,1505,7022,10029,2395,13158,3999,8640,5411,6183,8444,5371,11042,7700,2310,1531,1483,3222,6271,8227,4903,5501,5791,3420,3737,5097,11836,13871,1864,4431,6096,8061,10789,2660,385,6932,3578,2128,1743,2648,2506,2237,3859,2045,2386,4096,3661
2025-08-15,192584,4047,2271,1527,19273,1634,7525,9639,2076,19225,4379,9195,4162,8267,11171,5552,13511,10615,2328,1964,1794,3813,6512,11498,6660,7730,8389,5235,4831,6398,16902,18060,2747,6230,9417,11233,14934,2525,564,8301,4025,3144,3062,3947,4559,3121,5240,2934,3690,5210,5417
2025-08-16,227617,5134,2577,1523,22163,1680,7747,9903,2205,20989,4676,11829,5594,9815,12214,7336,14711,12216,2993,2911,2208,4423,9081,13610,8277,8709,10135,6149,5299,6535,19454,20152,3769,7364,10190,12663,18218,3053,527,8833,5222,3412,3422,4273,5689,3327,6018,3358,4606,5728,6842
2025-08-17,165190,4146,2026,1271,15269,1468,6035,8152,1816,17322,4120,8038,4365,7576,8875,4729,12204,9193,2221,1503,1463,3021,5545,9562,5209,6374,6705,4284,4378,6321,14761,17130,2157,5088,7510,10130,14114,2251,498,6369,3496,2766,2774,3736,3671,2852,4320,2736,2981,3928,5060
2025-08-18,122262,4772,2335,1369,10532,1171,5539,8590,1848,10075,3392,6943,5290,4897,7122,4342,8035,5738,2210,1380,1280,2617,4707,6456,3564,4130,3905,2571,2730,4746,9643,10940,1690,2905,4729,6373,8411,2215,315,6174,2789,1797,1811,2558,2446,1854,2896,1985,2228,2780,2826
2025-08-19,123622,5525,2436,1421,10661,1203,6363,9399,2067,9598,3521,7059,5213,4863,7369,4119,7998,5920,1698,1264,1395,2388,4992,6374,3632,4656,3785,2336,2857,4540,9943,10329,1412,3001,4938,5806,8005,2017,266,5531,2969,1821,1679,2456,2323,1877,2894,1825,2473,2953,2737
2025-08-20,122853,5391,2605,1460,10311,1358,6670,9587,2252,7307,3523,6755,4854,5177,7287,4262,7852,5886,1992,1460,1389,2372,4966,5805,3534,4754,3688,2189,2890,4471,9833,10328,1546,2982,4970,5607,8181,2352,296,6267,2949,1711,1740,2328,2345,1779,2949,1768,2402,3207,2734
2025-08-21,117833,5184,1992,1231,9971,1233,6810,8082,1934,6788,3536,6644,4205,4673,6909,3787,7170,5738,2055,1302,1261,2387,4649,5477,3002,3858,3743,2266,2730,4280,9602,9824,1555,2741,4822,5924,10116,2236,371,5990,2754,1895,1697,2456,2105,1796,2892,1712,2616,3056,2691
2025-08-22,128311,5847,2183,1564,10089,1248,6464,8760,2170,10280,3561,6873,4826,4951,7539,4430,8279,6010,1828,1346,1377,2686,4635,5953,3449,3782,3982,2618,3497,4496,9946,10541,1764,3539,5652,6021,11022,2357,338,6379,3042,1983,1992,2579,2590,1803,3172,2023,2669,3464,3104
2025-08-23,188202,6466,2101,1704,17298,1571,8352,9942,1975,16739,4150,9790,4888,7871,10297,5913,11758,9580,1972,2055,1603,3856,7791,10675,5332,6510,7581,4639,5040,5971,16152,16026,2475,6021,8690,9026,16034,2519,520,7271,4117,2688,3034,3998,4465,2705,5112,2657,4402,4786,5896
2025-08-24,151765,4945,1715,1302,14257,1490,6603,7808,1705,14032,3965,7170,4113,6343,9038,3984,10369,8726,1651,1507,1416,2668,5343,7669,3846,5029,5447,4227,4831,5964,13527,14567,1797,4677,7179,8231,9964,2005,423,6536,3160,2586,2388,3881,3027,2448,3950,2623,3428,4044,4749
2025-08-25,128648,5916,2068,1531,10131,1373,6404,8878,2019,9672,3800,6957,5382,4963,7456,4426,8221,6675,1981,1489,1418,2449,4390,5734,3214,3782,3971,2897,3915,4585,9488,10318,1508,3361,5235,5899,8120,2272,393,6240,2973,1888,1657,2272,1963,1575,2780,1790,2558,3314,2638
2025-08-26,125124,5524,1845,1632,10194,1384,6577,8587,1904,9467,3813,6829,5320,4514,7095,4343,8334,6603,1768,1153,1329,2181,4767,6045,2829,3996,3638,3003,3919,4758,9575,10511,1487,3407,4958,5406,7783,2170,378,5984,2985,1898,1685,2605,1922,1713,2796,1893,2421,3339,2805
2025-08-27,125458,5782,1843,1581,10846,1347,6398,9569,2118,9734,3756,7123,5099,5222,7283,4619,8571,6519,1838,1328,1400,2675,4859,6149,3245,4236,3386,2765,3783,4727,10117,10368,1636,3454,4991,6006,3934,2233,350,5852,3036,1825,1775,2594,2158,1689,2893,1882,2345,3199,2790
2025-08-28,127520,5798,2027,1531,10896,1285,6712,8911,2058,10610,3813,7668,5219,4499,7597,4582,8330,6698,1777,1339,1218,2823,4606,6128,3209,4137,3981,3031,4023,4906,10004,10323,1585,3500,4606,5800,1868,2291,317,5793,2993,2009,1846,2637,2231,1748,3252,1886,2546,3330,2785
2025-08-29,136806,6062,2180,1651,11081,1453,7658,9747,2276,12597,3959,7826,5624,5088,7882,4686,9126,7048,1959,1415,1370,2879,5091,7084,3257,4645,4114,3453,4414,4897,9794,10426,1905,4040,5399,5822,3370,2508,432,6139,3417,2097,2117,3012,2729,1937,3550,1977,2879,3613,3120
2025-08-30,186493,6838,2363,1808,17209,1764,8265,10882,2006,19391,4873,9919,5650,7270,10154,6002,11987,10303,2260,1813,1537,3223,6921,9917,4467,6801,6620,5078,6068,6579,14135,14914,2730,6730,8558,9748,11562,2713,547,7695,3795,3165,2906,4115,4621,2771,5217,2615,3509,4604,5508
2025-08-31,130683,4563,1679,1250,12136,1290,6369,7587,1508,12650,3904,6711,4007,5716,7407,3845,9318,7522,1465,1299,1208,2818,4326,7393,3416,5100,5379,4024,4535,5517,11222,12265,1733,4014,5948,6912,8997,2101,312,5552,3250,2607,2084,3184,2610,1918,3416,2188,2769,3667,3210
