area_id,area_id,city,district,latitude,longitude
9147,홍익대학교,서울,마포구,37.550875,126.925555
9195,명동,서울,중구,37.562077,126.984901
9144,홍대입구역,서울,마포구,37.556871,126.923779
9350,고속터미널역,서울,서초구,37.504549,127.005121
9277,강남역 북부 11번출구,null,null,0.000000,0.000000
9462,서면역 남부 4번출구,null,null,0.000000,0.000000
9246,타임스퀘어,서울,영등포구,37.517105,126.903071
9321,코엑스,서울,강남구,37.512661,127.058828
9154,용산역,서울,용산구,37.530076,126.964824
9177,종로3가역,서울,종로구,37.570421,126.992153
9273,잠실역 롯데월드,서울,송파구,37.511131,127.098120
10147,부평역,인천,부평구,37.489449,126.724331
9461,서면역 남부 7번출구,null,null,0.000000,0.000000
9624,반월당사거리,대구,남구,35.856770,128.590730
9349,강남역북부 10번출구,null,null,0.000000,0.000000
9170,동대문시장,서울,종로구,37.570421,127.007618
9459,부전역,부산,부산진구,35.164651,129.060120
9244,영등포역,서울,영등포구,37.515683,126.907878
9272,잠실역,서울,송파구,37.513311,127.100231
9338,신림역,서울,관악구,37.484267,126.929745
9322,포스코사거리,서울,강남구,37.506837,127.056595
9465,서면역 북부 11번출구,null,null,0.000000,0.000000
9223,신도림역,서울,구로구,37.508908,126.891313
9625,반월당역,대구,중구,35.864498,128.593337
9567,창원 중앙동,경남,창원시,35.228249,128.655520
10027,상동역,경기,부천시,37.505789,126.753192
9209,충무로역 북부,null,null,0.000000,0.000000
9378,노원역,서울,노원구,37.656340,127.063449
9891,수원역,경기,수원시,37.265790,127.000095
9493,센텀시티 북부,경남,김해시,35.271351,128.866993
9302,압구정 로데오거리,서울,강남구,37.526756,127.039152
9890,수원시청,경기,수원시,37.263585,127.028716
9499,해운대역,부산,해운대구,35.163648,129.158897
9174,인사동,서울,종로구,37.574547,126.985592
10073,범계역,경기,안양시,37.389784,126.950783
10033,신중동역,경기,부천시,37.502952,126.776898
9336,서울대입구역,서울,관악구,37.481285,126.952713
9388,청량리역,서울,동대문구,37.579970,127.047736
9629,동대구역,대구,동구,35.879324,128.628394
9255,건대입구역,서울,광진구,37.540408,127.069203
9522,남포역,부산,중구,35.097906,129.034736
9303,압구정역,서울,강남구,37.526491,127.028509
9374,미아사거리역,서울,강북구,37.613278,127.030087
9334,사당역,서울,동작구,37.476562,126.981559
9194,롯데백화점 본점,서울,중구,37.564906,126.981754
9171,동대문역,서울,종로구,37.571669,127.010634
9524,자갈치역 남부,부산,서구,35.083937,129.025194
9278,강남역남부 8번출구,null,null,0.000000,0.000000
9984,판교역,경기,성남시,37.394778,127.111198
9169,광화문역,서울,종로구,37.571649,126.976424
9307,역삼역남부 3번출구,null,null,0.000000,0.000000
9150,신촌역 북부,서울,마포구,37.555709,126.934486
9529,울산 삼산동,울산,남구,35.540488,129.337267
9201,신당역,서울,중구,37.565673,127.019478
9523,자갈치역 북부,null,null,0.000000,0.000000
9141,마포역,서울,마포구,37.539554,126.945863
9623,중앙로역 북부 3번출구,null,null,0.000000,0.000000
9253,천호역 북부,null,null,0.000000,0.000000
9347,총신대입구역,서울,동작구,37.486800,126.982212
9280,논현역남부 3번출구,null,null,0.000000,0.000000
9288,삼성역 남부 4번출구,null,null,0.000000,0.000000
9241,여의도역 북부,null,null,0.000000,0.000000
9457,온천장역,부산,동래구,35.220271,129.086435
9492,센텀시티 남부,부산,수영구,35.159063,129.125708
9267,가락시장,서울,송파구,37.493888,127.110927
9291,선릉역,서울,강남구,37.504497,127.048963
10008,젊음의거리,울산,중구,35.554360,129.321087
9184,종로구청,서울,종로구,37.573504,126.978990
9375,수유역,서울,강북구,37.637885,127.025509
9294,선릉역 남부 1번출구,null,null,0.000000,0.000000
9714,광천동,광주,서구,35.161197,126.879880
9486,광안리,부산,수영구,35.153193,129.118976
9958,서현역,경기,성남시,37.385015,127.123431
9447,사상역 북부 5번출구,null,null,0.000000,0.000000
9472,연산동역,부산,연제구,35.186038,129.081603
9155,용산 전자상가,서울,용산구,37.533849,126.965345
9191,남대문시장,서울,중구,37.559182,126.977627
9279,논현역남부 1번출구,null,null,0.000000,0.000000
9271,신천역,경기,시흥시,37.439246,126.786785
10168,둔산2동,대전,서구,36.352268,127.378444
9626,중앙로역 북부 4번출구,null,null,0.000000,0.000000
9215,가산디지털단지역,서울,금천구,37.480396,126.882662
9176,종각역 젊음의거리,null,null,0.000000,0.000000
9143,신촌역 남부,서울,마포구,37.540097,126.941026
9960,야탑역,경기,성남시,37.411374,127.128743
9231,목동 현대백화점,서울,양천구,37.526654,126.875259
9196,명동역,서울,중구,37.560965,126.986402
9504,부산역,부산,동구,35.115203,129.041550
9205,을지로3가역,서울,중구,37.566291,126.990984
10082,안양 남부시장,경기,안양시,37.395947,126.924687
10048,정발산역,경기,고양시,37.659481,126.773406
9298,신사동가로수길,서울,강남구,37.520820,127.022729
9368,역삼역북부 4번출구,null,null,0.000000,0.000000
9301,청담동패션거리,서울,강남구,37.525439,127.044342
9959,수내역,경기,성남시,37.378469,127.114289
9138,공덕역,서울,마포구,37.544542,126.951451
9500,범일역,부산,동구,35.140803,129.059353
9348,강남역남부 7번출구,null,null,0.000000,0.000000
9383,경동시장,서울,동대문구,37.579037,127.039136
9188,혜화역 대학로,서울,종로구,37.582044,127.001945
9541,울산시외버스터미널,울산,남구,35.536562,129.339729
9208,충무로역 남부,서울,중구,37.564614,127.000271
9444,사상역 북부 2번출구,null,null,0.000000,0.000000
10142,작전서운동,인천,계양구,37.534298,126.749053
10108,주안역,인천,미추홀구,37.465052,126.679968
9243,영등포시장역,서울,영등포구,37.522709,126.905180
10248,성안길육거리,충북,청주시,36.630892,127.489788
9344,보라매공원,서울,동작구,37.493283,126.920518
10070,산본역,경기,군포시,37.358019,126.933046
9332,한티역,서울,강남구,37.496286,127.052910
9452,동래역,부산,동래구,35.205616,129.078474
10094,도리섬상점가상권,null,null,0.000000,0.000000
9645,범어역,대구,수성구,35.859019,128.626805
9299,신사역,서울,강남구,37.516436,127.020309
9497,장산역 북부,null,null,0.000000,0.000000
9312,은마아파트입구사거리,null,null,0.000000,0.000000
9533,울산 남구청,울산,남구,35.543810,129.330092
9889,수원시청역 북부,null,null,0.000000,0.000000
10282,구래역,경기,김포시,37.645393,126.628576
9391,성신여대입구역,서울,성북구,37.592968,127.017126
9199,서울 시청역,서울,중구,37.563682,126.975598
9909,용인사거리,경기,용인시,37.235493,127.208816
9445,사상역 남부 1번출구,null,null,0.000000,0.000000
9310,역삼역북부 7번출구,null,null,0.000000,0.000000
9163,연신내역,서울,은평구,37.619204,126.921103
10182,온천1동,대전,유성구,36.355074,127.348279
9792,왕조1동,전남,순천시,34.967073,127.525440
9210,강서구청,서울,강서구,37.550965,126.849534
9198,서울시청,서울,중구,37.566824,126.978652
9595,물급읍,null,null,0.000000,0.000000
10084,안양3동,경기,안양시,37.400829,126.915758
9724,첨단2동,광주,광산구,35.210229,126.840094
9450,부산대역,부산,금정구,35.229649,129.089425
9905,수지구청,경기,용인시,37.322115,127.097682
9875,영통역,경기,수원시,37.251504,127.071332
9879,광교,경기,수원시,37.292627,127.049840
9481,경성대부경대역,부산,남구,35.137600,129.100519
9978,이천종합터미널,경기,이천시,37.277421,127.446936
10043,마두역,경기,고양시,37.652241,126.777611
9292,선릉역 북부 5번출구,null,null,0.000000,0.000000
10025,부천시청,경기,부천시,37.503506,126.766029
9367,양재역,서울,서초구,37.484577,127.034164
9939,광명사거리역,경기,광명시,37.479298,126.854874
9193,동대문역사문화공원역,서울,중구,37.565664,127.009004
9903,쥬네브썬월드,경기,용인시,37.278044,127.152158
9635,대구 동천동,대구,북구,35.934970,128.555384
9252,천호역 남부,서울,강동구,37.545529,127.123297
10118,인천소래포구,인천,남동구,37.397649,126.739489
10210,신부동먹자골목,충남,천안시,36.832509,127.135694
9240,여의도역 남부,서울,영등포구,37.523781,126.926876
9614,성서산업단지역,대구,달서구,35.851715,128.507000
9181,종로5가역 북부 1번출구,null,null,0.000000,0.000000
9182,종로5가역 북부 3번출구,null,null,0.000000,0.000000
10097,안산 중앙역,경기,안산시,37.315995,126.838830
9692,중앙상가,경북,포항시,36.038434,129.364490
9988,돌다리사거리,경기,구리시,37.600992,127.141190
10102,구월동로데오거리,인천,남동구,37.445076,126.702058
9919,평택오거리,경기,평택시,36.989664,126.932737
9515,하단역,부산,사하구,35.106239,128.966787
9270,방이동 먹자골목,서울,송파구,37.514783,127.109221
9287,뱅뱅사거리,서울,강남구,37.489547,127.031661
9804,연동,제주특별자치도,제주시,33.469784,126.493266
10077,평촌역,경기,안양시,37.394240,126.963808
10190,대흥동,대전,중구,36.324718,127.430342
9926,반석사근린공원,null,null,0.000000,0.000000
9753,이마트,서울,은평구,37.600275,126.920179
9755,평화광장,전남,목포시,34.796645,126.433802
9534,울산 달동,울산,남구,35.532102,129.315568
9559,도서동,경기,화성시,37.185864,127.087736
9874,아주대삼거리,경기,수원시,37.274674,127.044099
10005,의정부역,경기,의정부시,37.738362,127.045957
9953,광주종합터미널,경기,광주시,37.409609,127.261307
10215,천안종합버스터미널,충남,천안시,36.819255,127.154428
9553,울산 성남동,울산,중구,35.554308,129.320792
9437,덕천역,부산,북구,35.210435,129.005175
10040,화정역 남부,경기,고양시,37.620357,126.834320
9211,발산역,서울,강서구,37.558678,126.837736
9382,창동역,서울,도봉구,37.653339,127.047645
10195,은행동,경기,시흥시,37.441682,126.806216
10277,정릉역,서울,성북구,37.602615,127.013540
10044,백석역 남부,경기,고양시,37.649389,126.780435
9387,장안동사거리,서울,동대문구,37.572353,127.071678
9264,한양시장,서울,성동구,37.559656,127.040532
9989,구리역,경기,구리시,37.603269,127.143351
9895,팔달문로터리,경기,수원시,37.277189,127.016737
9261,왕십리역,서울,성동구,37.561268,127.037103
9691,죽도시장,경북,포항시,36.036355,129.368390
10171,대전 시청역,대전,서구,36.351524,127.386751
9727,수완동,광주,광산구,35.193243,126.821190
10119,인천시청,인천,남동구,37.456004,126.705258
10306,명지1동명지국제신도시,부산,강서구,35.097588,128.911107
9721,원당산공원,광주,광산구,35.192946,126.821261
9511,당리역,부산,사하구,35.103567,128.973697
10076,평촌먹거리촌,경기,안양시,37.382369,126.962900
9730,광주예술의거리,광주,동구,35.149650,126.918922
9249,길동역,서울,강동구,37.537826,127.140021
9274,장지역,서울,송파구,37.478632,127.126177
9421,단구동 근린공원,강원특별자치도,원주시,37.318567,127.960099
9251,명일역,서울,강동구,37.551398,127.144044
9970,모란역,경기,성남시,37.434038,127.129970
10214,천안역,충남,천안시,36.809079,127.146773
9488,민락동,경기,의정부시,37.747510,127.109975
9868,수원시청역 남부,경기,수원시,37.254651,127.036331
9542,울산시청,울산,남구,35.539596,129.311601
9425,원주시외버스터미널,강원특별자치도,원주시,37.344919,127.930717
9162,불광역,서울,은평구,37.610048,126.930316
10252,청주고속버스터미널,충북,청주시,36.627318,127.430410
9328,학동역,서울,강남구,37.514346,127.031902
9152,숙대입구역,서울,용산구,37.544595,126.972118
9954,미금역,경기,성남시,37.350072,127.109007
9304,양재역,서울,서초구,37.484577,127.034164
9517,남항동,부산,영도구,35.092678,129.032945
9224,오류동,서울,구로구,37.488859,126.835178
9237,당산역,서울,영등포구,37.534784,126.902612
9872,망포역,경기,수원시,37.245838,127.056855
9928,반월동상점가,경기,수원시,37.259489,127.043683
9582,진주 중앙동,경남,진주시,35.197845,128.092657
9810,도청앞신시가지,null,null,0.000000,0.000000
9345,신대방삼거리역,서울,동작구,37.499757,126.928211
9386,신설동역,서울,동대문구,37.576030,127.024457
9236,국회의사당역,서울,영등포구,37.528147,126.917839
9901,죽전역,경기,용인시,37.324377,127.107505
9214,서울디지털산업3단지,서울,금천구,37.477268,126.879732
9930,병점중심상가,경기,화성시,37.214002,127.041937
9589,김해시청,경남,김해시,35.228565,128.889363
9964,정자역,경기,성남시,37.366174,127.108097
9440,화명역,부산,북구,35.234512,129.007640
9225,서울디지털국가산업단지,서울,구로구,37.483454,126.895632
9713,상무지구,광주,서구,35.151609,126.848379
9394,장한평역,서울,동대문구,37.561604,127.063704
10107,시민공원역,인천,미추홀구,37.458385,126.681075
10146,부평시장,부산,중구,35.101827,129.025862
9920,평택역,경기,평택시,36.990645,127.085570
9693,양덕동,경남,창원시,35.228767,128.593316
9751,신흥동,경기,부천시,37.519340,126.760193
9326,학동사거리,서울,강남구,37.523199,127.039159
9295,선정릉역,서울,강남구,37.510933,127.043627
9604,통영시청 제2청사,경남,통영시,34.856326,128.430488
10022,역곡역,경기,부천시,37.485315,126.812059
9801,서귀포 중앙동,제주특별자치도,서귀포시,33.247997,126.563120
9175,종각역,서울,종로구,37.570228,126.983151
10369,기흥역,경기,용인시,37.275453,127.117046
9197,북창동,서울,중구,37.561481,126.978006
10346,청라 커널웨이  수변공원,인천,서구,37.532831,126.651543
9648,봉무동,대구,동구,35.917521,128.641672
9455,사직2동,부산,동래구,35.192453,129.062104
9704,경주역,경북,경주시,35.798377,129.138999
9609,감삼역,대구,달서구,35.854309,128.548125
10074,인덕원역,경기,안양시,37.401494,126.976680
9733,금남로5가역,광주,북구,35.154193,126.909319
9565,월영동,경남,창원시,35.178187,128.583253
9943,삼미시장,경기,시흥시,37.440484,126.784204
9913,소사벌지구,경기,평택시,37.004408,127.111808
9856,정읍역,전북특별자치도,정읍시,35.575507,126.842250
9258,군자역,서울,광진구,37.557151,127.079511
9305,언주역,서울,강남구,37.507335,127.033971
9998,평내호평역,경기,남양주시,37.653214,127.244439
9732,금남로4가역,광주,동구,35.150725,126.914526
9832,전주농산물도매시장,전북특별자치도,전주시,35.868049,127.116898
10328,호수공원 예천동 상권,null,null,0.000000,0.000000
9646,수성구청역,대구,수성구,35.858806,128.635639
9160,이태원역,서울,용산구,37.534525,126.994334
9275,강남구청역,서울,강남구,37.517216,127.041311
10123,연수2동,인천,연수구,37.414478,126.690948
10112,구월4동,인천,남동구,37.455314,126.721332
10021,부천역,경기,부천시,37.483990,126.783083
9525,부산 중앙역,부산,중구,35.103725,129.036364
9725,첨단CGV,광주,광산구,35.216298,126.850638
9216,개봉동 현대아파트,서울,구로구,37.492079,126.858495
9289,삼성역,서울,강남구,37.508823,127.063023
9662,구미역,경북,구미시,36.128272,128.331016
9620,대신동,대구,중구,35.871483,128.580187
9151,이대역,서울,마포구,37.556815,126.946430
10187,대전복합터미널,대전,동구,36.350324,127.436750
9282,논현역 북부,null,null,0.000000,0.000000
10055,주엽역,경기,고양시,37.670149,126.761264
9643,황금2동,대구,수성구,35.840090,128.624716
9496,장산역 남부,부산,해운대구,35.178045,129.177813
9502,범일 중앙시장,부산,부산진구,35.143196,129.061435
9490,수영역,부산,수영구,35.165680,129.114810
9168,광화문역 남부,서울,서대문구,37.569996,126.960459
10192,중앙로역,대전,중구,36.328665,127.425828
10072,관양사거리,경기,안양시,37.403024,126.957027
9254,강변테크노마트,서울,광진구,37.535721,127.095685
9297,수서역,서울,강남구,37.485496,127.104371
10308,명지2동,부산,강서구,35.086685,128.912222
9166,경복궁역,서울,종로구,37.575806,126.973691
9967,성남시민회관앞,null,null,0.000000,0.000000
9257,구의역,서울,광진구,37.537175,127.086181
9355,남부터미널역,서울,서초구,37.485200,127.016200
9612,상인역,대구,달서구,35.818927,128.537764
10242,강서동,충북,청주시,36.626080,127.429682
9180,종로5가역 남부 7번출구,null,null,0.000000,0.000000
9647,신매역,대구,수성구,35.840812,128.705126
9759,삼향읍,전남,무안군,34.854435,126.416027
9480,대연성당,부산,남구,35.134781,129.098463
9308,역삼역남부 1번출구,null,null,0.000000,0.000000
9185,종묘앞,null,null,0.000000,0.000000
10258,흥덕구청,충북,청주시,36.628925,127.375861
9227,시흥1동,서울,금천구,37.456699,126.897324
9771,여서동,전남,여수시,34.755543,127.708688
10019,장기사거리,경기,김포시,37.644058,126.668983
9605,통영종합버스터미널,경남,통영시,34.885103,128.416929
9726,하남,경기,하남시,37.517553,127.249409
9226,독산1동,서울,금천구,37.464502,126.886970
10353,강남동kbs방송국 상권,null,null,0.000000,0.000000
9220,구로역,서울,구로구,37.503342,126.882308
10199,온양온천,충남,아산시,36.783237,126.999095
9927,동탄센트럴파크,경기,화성시,37.204153,127.063267
9583,평거동,경남,진주시,35.181138,128.051365
9603,강구안,경남,통영시,34.843850,128.424150
9449,구서동역,부산,금정구,35.247282,129.091288
10111,간석오거리역,인천,남동구,37.467083,126.707918
9230,등촌역,서울,강서구,37.550729,126.865571
9206,을지로4가역,서울,중구,37.566641,126.997632
9904,흥덕초등학교앞,null,null,0.000000,0.000000
9606,성당못역,대구,남구,35.837183,128.557191
9506,괴정역,부산,사하구,35.099936,128.992487
9921,통복동,경기,평택시,36.998008,127.083713
9283,대치역,서울,강남구,37.494497,127.063203
10173,대전 용문역,대전,서구,36.338167,127.393411
9940,철산역,경기,광명시,37.476193,126.868211
9466,서초구청,서울,서초구,37.483587,127.032732
10177,관평동,대전,유성구,36.414694,127.381854
10206,성정2동,충남,천안시,36.818738,127.140292
10143,굴포천역,인천,부평구,37.507046,126.731348
10238,공주대학교,충남,천안시,36.851012,127.150933
9530,울산 태화강역,울산,남구,35.538841,129.353332
9941,하안사거리,경기,광명시,37.462571,126.879778
9148,서대문역,서울,종로구,37.565752,126.966638
9485,용호3동,부산,남구,35.115778,129.127149
10110,가천의대길병원,인천,남동구,37.452077,126.709161
9983,신장시장,경기,하남시,37.538061,127.206339
9845,영등2동,전북특별자치도,익산시,35.958962,126.978511
10128,신포시장,인천,중구,37.471369,126.627094
10091,호수동상점가,경기,안산시,37.313858,126.831656
10096,안산다문화거리,경기,안산시,37.329625,126.790545
9882,장안구청,경기,수원시,37.303922,127.010273
9831,아중역앞,null,null,0.000000,0.000000
10193,선화동,대전,중구,36.328005,127.428448
10189,대전중앙시장,대전,동구,36.329552,127.433199
10125,연수역,인천,연수구,37.417928,126.678747
9161,한남오거리,서울,용산구,37.533307,127.007553
9663,원평동,경북,구미시,36.126323,128.334345
9140,디지털미디어시티,서울,은평구,37.576014,126.901278
9259,어린이대공원,서울,광진구,37.551470,127.083789
10063,금촌역,경기,파주시,37.766227,126.774633
10023,원종사거리,경기,부천시,37.524067,126.804831
9410,원주대 강릉캠퍼스,강원특별자치도,강릉시,37.770196,128.869042
9791,신대지구,전남,순천시,34.934391,127.545241
10035,고양시청,경기,고양시,37.658427,126.831978
10038,행신1동주민센터,경기,고양시,37.622330,126.835906
10031,송내 영화의거리,경기,부천시,37.489774,126.755959
9786,덕연동,전남,순천시,34.952244,127.519465
9938,병점역,경기,화성시,37.206753,127.033200
9598,양산역,경남,양산시,35.338750,129.026444
9263,장안평 중고차시장골목,null,null,0.000000,0.000000
9423,봉화산 택지,강원특별자치도,원주시,37.358559,127.912593
9570,석동,경남,창원시,35.168426,128.700604
9528,무거2동,울산,남구,35.545056,129.293851
9881,성균관대자연과학캠퍼스,경기,수원시,37.295040,126.977422
9588,가야대학교 앞,null,null,0.000000,0.000000
9743,광주첨단2지구,광주,북구,35.203810,126.862181
9250,둔촌동역,서울,강동구,37.527657,127.136215
9566,의창동,경남,창원시,35.271537,128.591214
9966,판교테크벨리,경기,성남시,37.404606,127.105849
10231,서산 읍내동,충남,서산시,36.784368,126.450396
9823,전주 풍남동,전북특별자치도,전주시,35.814777,127.152557
10137,계산4동,인천,계양구,37.542712,126.742575
10154,검단1동,인천,서구,37.625828,126.650709
9268,가락시장역,서울,송파구,37.493099,127.118263
10078,호계사거리,경기,안양시,37.370479,126.957917
9505,부산진역,부산,동구,35.124819,129.047612
9742,건국동,광주,북구,35.224314,126.894242
9590,내외동,경남,김해시,35.233189,128.866690
9404,춘천 명동,강원특별자치도,춘천시,37.879373,127.727943
9418,기독병원,광주,남구,35.136680,126.911978
9316,청담사거리,서울,강남구,37.524237,127.047418
9642,지산1동,대구,수성구,35.826261,128.639312
9883,장안문로터리,경기,수원시,37.289245,127.014146
9242,영등포구청역,서울,영등포구,37.525831,126.896677
9689,오천읍,경북,포항시,35.961999,129.404840
10230,서산공용버스터미널,충남,서산시,36.781847,126.458549
10106,주안6동,인천,미추홀구,37.459438,126.689285
10335,나주혁신도시,전남,나주시,35.020757,126.793336
10184,궁동,대전,유성구,36.362159,127.350218
9555,울산대공원정문,울산,남구,35.531795,129.293363
9640,태전1동,대구,북구,35.930461,128.533755
9219,디지털단지오거리,서울,금천구,37.479351,126.890012
10188,대전역,대전,동구,36.332294,127.434645
9741,양산동,광주,북구,35.203141,126.872423
10081,안양대앞,경기,안양시,37.393530,126.921004
9494,해운대 영화의 거리,부산,해운대구,35.154649,129.142767
10371,부산대병원상권,null,null,0.000000,0.000000
10144,동암역,인천,부평구,37.470696,126.702890
10141,임학역,인천,계양구,37.545012,126.738633
10067,정부과천청사역,경기,과천시,37.426505,126.989868
10017,김포시청,경기,김포시,37.615269,126.715658
10041,화정역 북부,경남,김해시,35.260383,128.870353
10250,용담동광장,제주특별자치도,제주시,33.513256,126.527334
9910,상현역,경기,용인시,37.297829,127.069364
10350,황리단길,경북,경주시,35.839335,129.209645
10309,명지오션시티,부산,강서구,35.080910,128.902988
9599,양산 중앙동,경남,양산시,35.343894,129.030812
10256,충대중문,충북,청주시,36.631602,127.457078
10047,장안2동,서울,동대문구,37.572634,127.077252
9540,울산고속버스터미널,울산,남구,35.537402,129.339374
9415,속초중앙시장,강원특별자치도,속초시,38.204543,128.590246
10134,경인교대입구역,인천,계양구,37.538124,126.722631
10204,부성동,충남,천안시,36.835136,127.162145
10164,관저2동,대전,서구,36.297786,127.337501
9867,수원버스터미널,경기,수원시,37.251080,127.019829
9803,대학로,경북,구미시,36.145922,128.393555
10241,오창,충북,청주시,36.714478,127.422723
9217,구로기계공구상,null,null,0.000000,0.000000
9561,명곡동,경남,창원시,35.258798,128.659112
10166,대전문화예술의전당,대전,서구,36.366610,127.383711
9401,남춘천역,강원특별자치도,춘천시,37.864054,127.723819
9495,우1동,부산,해운대구,35.158523,129.159855
9453,명륜역,부산,동래구,35.212575,129.079703
10139,계산역,인천,계양구,37.543308,126.727731
10194,오류동먹자골목,경기,광명시,37.479446,126.853668
10262,성내.충인,충북,충주시,36.973409,127.933851
9521,남포 롯데백화점,부산,중구,35.097973,129.036381
9924,오산시청,경기,오산시,37.149877,127.077524
9962,오리역,경기,성남시,37.339831,127.108949
10373,동대신동역,부산,서구,35.110321,129.017733
9722,신창동,광주,광산구,35.179311,126.838496
10090,선부광장,경기,안산시,37.333579,126.809843
10284,원주혁신도시,강원특별자치도,원주시,37.328538,127.984628
9915,송탄출장소앞,null,null,0.000000,0.000000
9352,서울법원,서울,서초구,37.496182,127.011919
9965,카페거리,경북,경주시,35.839335,129.209645
9409,강릉 중앙동,강원특별자치도,강릉시,37.755910,128.897497
9234,오목교역,서울,양천구,37.524534,126.875307
9408,강릉역,강원특별자치도,강릉시,37.764524,128.899628
9285,도산공원사거리,서울,강남구,37.521539,127.033855
10156,서구청역,인천,서구,37.544045,126.676845
9902,죽전카페거리,경기,용인시,37.321629,127.110101
10372,동아대부민캠퍼스,부산,서구,35.104702,129.018794
9400,거두리,강원특별자치도,춘천시,37.854730,127.758902
9723,첨단1동주민센터,광주,광산구,35.219506,126.842401
10039,행신역,경기,고양시,37.611926,126.834132
9478,기장역,부산,기장군,35.243875,129.218624
9248,고덕역,서울,강동구,37.555048,127.154165
9324,포이사거리,서울,서초구,37.478309,127.044544
9734,문화전당역,광주,동구,35.146597,126.919903
10113,인천 논현역,인천,남동구,37.400659,126.722452
9653,옥동,울산,남구,35.528686,129.292300
9222,대림역,서울,구로구,37.493310,126.894931
9806,노형동,제주특별자치도,제주시,33.450403,126.487889
9333,대학동,서울,관악구,37.444470,126.963897
9558,도계상권,null,null,0.000000,0.000000
10315,동촌유원지,대구,동구,35.882620,128.650466
9690,죽도동,경북,포항시,36.035546,129.368037
9686,대이동,경북,포항시,36.012322,129.340824
10159,완정역,인천,서구,37.592839,126.673033
9773,여수 중앙동,전남,여수시,34.739448,127.736050
9700,경산 중앙동,경북,경산시,35.821691,128.741473
9584,하대동,경남,진주시,35.197680,128.107956
10098,초지동주민센터,경기,안산시,37.310001,126.816873
10209,신방동,충남,천안시,36.789063,127.126717
10275,충북혁신도시,충북,음성군,36.907716,127.540443
9886,못골종합시장,경기,수원시,37.275469,127.021267
10211,쌍용동먹자골목,충남,천안시,36.789063,127.126717
9925,오산역,경기,오산시,37.144717,127.066630
9365,양재동 꽃시장,서울,서초구,37.467131,127.039569
9651,안동문화의거리,경북,안동시,36.564823,128.730936
9948,이마트시화점사거리,null,null,0.000000,0.000000
